stage,epoch,paired,loss,val_loss,rec_loss,cross_loss,end_effector_loss,triplet_loss,latent_consistency_loss,smoothing_loss,privacy_loss,privacy_loss_adv,privacy_loss_coop,privacy_acc_adv,privacy_acc_coop,utility_loss,utility_loss_adv,utility_loss_coop,utility_acc_adv,utility_acc_coop,discriminator_loss,discriminator_acc,priv_training_loss,priv_coop_training_loss,util_training_loss,util_coop_training_loss,discriminator_train_loss,priv_training_acc,priv_coop_training_acc,util_training_acc,util_coop_training_acc,discriminator_train_acc
1,1,True,16.17582896051,nan,5.925466843871991,5.952115565507395,0.10350643082460802,3.4857011645195017,0.0015367738322067026,0.041702794003165664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,2,True,9.150233344654636,nan,3.154938245787209,3.167743007548766,0.08861527228718245,2.375757584586724,0.0005045814211033314,0.018054627119510218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,3,True,6.969949411676032,nan,2.241419744417149,2.246083212196517,0.048007341382809904,2.1673986328752184,0.00012583274910601754,0.015279099173673295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,4,True,6.146125693226952,nan,1.8907275099411964,1.8927160258347733,0.03778642462905686,2.095349160491118,3.725884897516518e-05,0.01396362836357365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,5,True,5.63738054192153,nan,1.668183191137681,1.6693074771442473,0.033770626618233233,2.0605078658998073,1.1208418919342192e-05,0.01323094888726922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,6,False,3.0772493156012337,nan,1.511693943179485,nan,0.015931048084527222,0.0,nan,0.012643460945093483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,7,False,2.8499805016770696,nan,1.3991433104168736,nan,0.014639007047780098,0.0,nan,0.012351625089210911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,8,False,2.6625568077790005,nan,1.3062744514006854,nan,0.013500501531584268,0.0,nan,0.012169135058963523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,9,False,2.4992186886711,nan,1.2253733135286902,nan,0.012585090304667694,0.0,nan,0.011962324085293588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,10,False,2.3398781746905004,nan,1.1461817310206228,nan,0.011876577612218078,0.0,nan,0.0118793773878672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
